"ratio","theta","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.7,0.89,0.675,0.453,0.47,0.305,0.205,0.148
0.7,0.9,0.678,0.479,0.485,0.326,0.193,0.153
0.7,0.91,0.699,0.492,0.493,0.343,0.206,0.149
0.7,0.92,0.716,0.473,0.51,0.317,0.206,0.156
0.7,0.93,0.69,0.46,0.485,0.308,0.205,0.152
0.7,0.94,0.693,0.477,0.501,0.311,0.192,0.166
0.7,0.95,0.689,0.45,0.492,0.304,0.197,0.146
0.7,0.96,0.647,0.469,0.463,0.315,0.184,0.154
0.7,0.97,0.674,0.471,0.486,0.309,0.188,0.162
0.7,0.98,0.644,0.435,0.465,0.293,0.179,0.142
0.7,0.99,0.719,0.494,0.516,0.33,0.203,0.164
0.72,0.5,0.678,0.498,0.474,0.336,0.204,0.162
0.72,0.51,0.691,0.51,0.486,0.355,0.205,0.155
0.72,0.52,0.677,0.461,0.455,0.325,0.222,0.136
0.72,0.53,0.683,0.463,0.474,0.315,0.209,0.148
0.72,0.54,0.663,0.461,0.46,0.332,0.203,0.129
0.72,0.55,0.655,0.492,0.463,0.35,0.192,0.142
0.72,0.56,0.689,0.507,0.491,0.362,0.198,0.145
0.72,0.57,0.67,0.48,0.477,0.321,0.193,0.159
0.72,0.58,0.687,0.502,0.492,0.349,0.195,0.153
0.72,0.59,0.676,0.493,0.47,0.357,0.206,0.136
0.72,0.6,0.691,0.467,0.483,0.322,0.208,0.145
0.72,0.61,0.666,0.489,0.47,0.355,0.196,0.134
0.72,0.62,0.685,0.483,0.492,0.337,0.193,0.146
0.72,0.63,0.648,0.504,0.456,0.349,0.192,0.155
0.72,0.64,0.661,0.47,0.474,0.334,0.187,0.136
0.72,0.65,0.683,0.495,0.479,0.355,0.204,0.14
0.72,0.66,0.704,0.463,0.494,0.322,0.21,0.141
0.72,0.67,0.718,0.517,0.512,0.361,0.206,0.156
0.72,0.68,0.682,0.464,0.481,0.335,0.201,0.129
0.72,0.69,0.676,0.442,0.48,0.311,0.196,0.131
0.72,0.7,0.702,0.494,0.49,0.342,0.212,0.152
0.72,0.71,0.676,0.497,0.488,0.352,0.188,0.145
0.72,0.72,0.679,0.479,0.486,0.33,0.193,0.149
0.72,0.73,0.681,0.491,0.476,0.337,0.205,0.154
0.72,0.74,0.687,0.471,0.501,0.316,0.186,0.155
0.72,0.75,0.691,0.475,0.498,0.321,0.193,0.154
0.72,0.76,0.686,0.503,0.491,0.351,0.195,0.152
0.72,0.77,0.688,0.491,0.5,0.329,0.188,0.162
0.72,0.78,0.665,0.482,0.476,0.344,0.189,0.138
0.72,0.79,0.661,0.444,0.478,0.31,0.183,0.134
0.72,0.8,0.667,0.478,0.478,0.334,0.189,0.144
0.72,0.81,0.683,0.478,0.49,0.331,0.193,0.147
0.72,0.82,0.676,0.464,0.49,0.32,0.186,0.144
0.72,0.83,0.695,0.488,0.511,0.339,0.184,0.149
0.72,0.84,0.698,0.502,0.495,0.341,0.203,0.161
0.72,0.85,0.66,0.481,0.471,0.326,0.189,0.155
0.72,0.86,0.668,0.489,0.495,0.336,0.173,0.153
0.72,0.87,0.687,0.495,0.507,0.34,0.18,0.155
0.72,0.88,0.678,0.517,0.486,0.356,0.192,0.161
0.72,0.89,0.7,0.487,0.515,0.336,0.185,0.151
0.72,0.9,0.716,0.499,0.508,0.348,0.208,0.151
0.72,0.91,0.672,0.46,0.495,0.327,0.177,0.133
0.72,0.92,0.694,0.49,0.505,0.354,0.189,0.136
0.72,0.93,0.681,0.499,0.497,0.355,0.184,0.144
0.72,0.94,0.677,0.446,0.488,0.307,0.189,0.139
0.72,0.95,0.719,0.47,0.521,0.339,0.198,0.131
0.72,0.96,0.704,0.49,0.518,0.336,0.186,0.154
0.72,0.97,0.68,0.486,0.491,0.33,0.189,0.156
0.72,0.98,0.669,0.449,0.487,0.31,0.182,0.139
0.72,0.99,0.705,0.495,0.507,0.326,0.198,0.169
0.74,0.5,0.661,0.457,0.496,0.338,0.165,0.119
0.74,0.51,0.697,0.483,0.516,0.363,0.181,0.12
0.74,0.52,0.692,0.473,0.508,0.353,0.184,0.12
0.74,0.53,0.67,0.472,0.504,0.353,0.166,0.119
0.74,0.54,0.671,0.442,0.497,0.331,0.174,0.111
0.74,0.55,0.718,0.46,0.534,0.337,0.184,0.123
0.74,0.56,0.702,0.476,0.513,0.364,0.189,0.112
0.74,0.57,0.685,0.482,0.507,0.366,0.178,0.116
0.74,0.58,0.684,0.466,0.502,0.351,0.182,0.115
0.74,0.59,0.678,0.464,0.504,0.354,0.174,0.11
0.74,0.6,0.683,0.497,0.515,0.378,0.168,0.119
0.74,0.61,0.667,0.498,0.502,0.362,0.165,0.136
0.74,0.62,0.668,0.492,0.5,0.369,0.168,0.123
0.74,0.63,0.711,0.504,0.539,0.378,0.172,0.126
0.74,0.64,0.651,0.488,0.485,0.357,0.166,0.131
0.74,0.65,0.692,0.484,0.522,0.358,0.17,0.126
0.74,0.66,0.663,0.519,0.494,0.376,0.169,0.143
0.74,0.67,0.712,0.471,0.53,0.348,0.182,0.123
0.74,0.68,0.687,0.463,0.516,0.344,0.171,0.119
0.74,0.69,0.713,0.491,0.535,0.372,0.178,0.119
0.74,0.7,0.682,0.495,0.508,0.368,0.174,0.127
0.74,0.71,0.673,0.462,0.512,0.342,0.161,0.12
0.74,0.72,0.727,0.472,0.553,0.358,0.174,0.114
0.74,0.73,0.706,0.48,0.538,0.369,0.168,0.111
0.74,0.74,0.721,0.493,0.55,0.354,0.171,0.139
0.74,0.75,0.698,0.483,0.538,0.365,0.16,0.118
0.74,0.76,0.687,0.457,0.522,0.344,0.165,0.113
0.74,0.77,0.688,0.477,0.525,0.36,0.163,0.117
0.74,0.78,0.676,0.472,0.522,0.348,0.154,0.124
0.74,0.79,0.694,0.489,0.519,0.364,0.175,0.125
0.74,0.8,0.676,0.497,0.513,0.363,0.163,0.134
0.74,0.81,0.696,0.477,0.517,0.355,0.179,0.122
0.74,0.82,0.662,0.492,0.51,0.373,0.152,0.119
0.74,0.83,0.703,0.452,0.535,0.328,0.168,0.124
0.74,0.84,0.655,0.496,0.502,0.36,0.153,0.136
0.74,0.85,0.709,0.49,0.539,0.362,0.17,0.128
0.74,0.86,0.725,0.487,0.558,0.358,0.167,0.129
0.74,0.87,0.697,0.47,0.538,0.357,0.159,0.113
0.74,0.88,0.658,0.465,0.489,0.339,0.169,0.126
0.74,0.89,0.703,0.497,0.54,0.362,0.163,0.135
0.74,0.9,0.74,0.493,0.566,0.371,0.174,0.122
0.74,0.91,0.68,0.451,0.526,0.325,0.154,0.126
0.74,0.92,0.686,0.465,0.536,0.351,0.15,0.114
0.74,0.93,0.677,0.481,0.519,0.342,0.158,0.139
0.74,0.94,0.676,0.474,0.525,0.347,0.151,0.127
0.74,0.95,0.664,0.468,0.509,0.331,0.155,0.137
0.74,0.96,0.678,0.495,0.522,0.377,0.156,0.118
0.74,0.97,0.67,0.501,0.52,0.364,0.15,0.137
0.74,0.98,0.702,0.474,0.542,0.349,0.16,0.125
0.74,0.99,0.686,0.46,0.534,0.341,0.152,0.119
0.76,0.5,0.651,0.477,0.49,0.358,0.161,0.119
0.76,0.51,0.694,0.479,0.528,0.36,0.166,0.119
0.76,0.52,0.693,0.509,0.522,0.384,0.171,0.125
0.76,0.53,0.654,0.443,0.498,0.336,0.156,0.107
0.76,0.54,0.684,0.471,0.521,0.37,0.163,0.101
0.76,0.55,0.689,0.505,0.521,0.379,0.168,0.126
0.76,0.56,0.7,0.47,0.54,0.343,0.16,0.127
0.76,0.57,0.672,0.483,0.514,0.365,0.158,0.118
0.76,0.58,0.694,0.519,0.54,0.393,0.154,0.126
0.76,0.59,0.67,0.469,0.524,0.357,0.146,0.112
0.76,0.6,0.673,0.47,0.526,0.359,0.147,0.111
0.76,0.61,0.662,0.464,0.514,0.359,0.148,0.105
0.76,0.62,0.683,0.505,0.522,0.392,0.161,0.113
0.76,0.63,0.678,0.486,0.512,0.365,0.166,0.121
0.76,0.64,0.677,0.48,0.52,0.37,0.157,0.11
0.76,0.65,0.699,0.44,0.527,0.325,0.172,0.115
0.76,0.66,0.699,0.447,0.542,0.333,0.157,0.114
0.76,0.67,0.681,0.506,0.524,0.375,0.157,0.131
0.76,0.68,0.686,0.457,0.526,0.338,0.16,0.119
0.76,0.69,0.685,0.487,0.515,0.369,0.17,0.118
0.76,0.7,0.693,0.484,0.54,0.364,0.153,0.12
0.76,0.71,0.686,0.505,0.532,0.386,0.154,0.119
0.76,0.72,0.672,0.456,0.518,0.344,0.154,0.112
0.76,0.73,0.678,0.445,0.521,0.334,0.157,0.111
0.76,0.74,0.696,0.484,0.541,0.364,0.155,0.12
0.76,0.75,0.712,0.519,0.545,0.399,0.167,0.12
0.76,0.76,0.662,0.45,0.502,0.334,0.16,0.116
0.76,0.77,0.704,0.465,0.543,0.348,0.161,0.117
0.76,0.78,0.723,0.459,0.569,0.352,0.154,0.107
0.76,0.79,0.709,0.483,0.553,0.372,0.156,0.111
0.76,0.8,0.693,0.495,0.539,0.366,0.154,0.129
0.76,0.81,0.708,0.5,0.547,0.392,0.161,0.108
0.76,0.82,0.715,0.498,0.574,0.394,0.141,0.104
0.76,0.83,0.688,0.496,0.544,0.365,0.144,0.131
0.76,0.84,0.679,0.471,0.522,0.359,0.157,0.112
0.76,0.85,0.727,0.504,0.56,0.383,0.167,0.121
0.76,0.86,0.643,0.454,0.509,0.343,0.134,0.111
0.76,0.87,0.699,0.502,0.543,0.387,0.156,0.115
0.76,0.88,0.71,0.471,0.563,0.359,0.147,0.112
0.76,0.89,0.66,0.445,0.512,0.339,0.148,0.106
0.76,0.9,0.701,0.469,0.542,0.361,0.159,0.108
0.76,0.91,0.678,0.44,0.531,0.326,0.147,0.114
0.76,0.92,0.676,0.482,0.527,0.359,0.149,0.123
0.76,0.93,0.686,0.507,0.536,0.383,0.15,0.124
0.76,0.94,0.694,0.499,0.543,0.375,0.151,0.124
0.76,0.95,0.669,0.486,0.532,0.354,0.137,0.132
0.76,0.96,0.71,0.468,0.562,0.355,0.148,0.113
0.76,0.97,0.688,0.468,0.534,0.34,0.154,0.128
0.76,0.98,0.676,0.478,0.541,0.367,0.135,0.111
0.76,0.99,0.701,0.492,0.56,0.376,0.141,0.116
0.78,0.5,0.693,0.464,0.541,0.373,0.152,0.091
0.78,0.51,0.699,0.516,0.546,0.413,0.153,0.103
0.78,0.52,0.671,0.481,0.526,0.388,0.145,0.093
0.78,0.53,0.707,0.475,0.548,0.368,0.159,0.107
0.78,0.54,0.679,0.477,0.532,0.365,0.147,0.112
0.78,0.55,0.691,0.472,0.545,0.377,0.146,0.095
0.78,0.56,0.695,0.49,0.545,0.371,0.15,0.119
0.78,0.57,0.681,0.479,0.532,0.375,0.149,0.104
0.78,0.58,0.675,0.517,0.526,0.406,0.149,0.111
0.78,0.59,0.683,0.534,0.531,0.421,0.152,0.113
0.78,0.6,0.685,0.491,0.539,0.385,0.146,0.106
0.78,0.61,0.684,0.503,0.538,0.392,0.146,0.111
0.78,0.62,0.689,0.502,0.537,0.394,0.152,0.108
0.78,0.63,0.709,0.459,0.555,0.358,0.154,0.101
0.78,0.64,0.671,0.426,0.523,0.329,0.148,0.097
0.78,0.65,0.678,0.467,0.528,0.361,0.15,0.106
0.78,0.66,0.702,0.522,0.551,0.408,0.151,0.114
0.78,0.67,0.692,0.484,0.543,0.386,0.149,0.098
0.78,0.68,0.673,0.491,0.532,0.383,0.141,0.108
0.78,0.69,0.672,0.483,0.53,0.367,0.142,0.116
0.78,0.7,0.706,0.467,0.564,0.364,0.142,0.103
0.78,0.71,0.694,0.5,0.542,0.373,0.152,0.127
0.78,0.72,0.698,0.474,0.558,0.364,0.14,0.11
0.78,0.73,0.691,0.442,0.556,0.351,0.135,0.091
0.78,0.74,0.685,0.431,0.547,0.331,0.138,0.1
0.78,0.75,0.649,0.49,0.52,0.374,0.129,0.116
0.78,0.76,0.674,0.467,0.542,0.363,0.132,0.104
0.78,0.77,0.685,0.443,0.536,0.354,0.149,0.089
0.78,0.78,0.712,0.478,0.566,0.374,0.146,0.104
0.78,0.79,0.688,0.479,0.558,0.381,0.13,0.098
0.78,0.8,0.69,0.478,0.547,0.372,0.143,0.106
0.78,0.81,0.682,0.48,0.548,0.362,0.134,0.118
0.78,0.82,0.684,0.483,0.547,0.378,0.137,0.105
0.78,0.83,0.68,0.478,0.542,0.37,0.138,0.108
0.78,0.84,0.682,0.483,0.548,0.385,0.134,0.098
0.78,0.85,0.645,0.443,0.516,0.355,0.129,0.088
0.78,0.86,0.648,0.447,0.523,0.351,0.125,0.096
0.78,0.87,0.713,0.497,0.562,0.39,0.151,0.107
0.78,0.88,0.687,0.501,0.561,0.389,0.126,0.112
0.78,0.89,0.671,0.492,0.542,0.378,0.129,0.114
0.78,0.9,0.685,0.475,0.561,0.369,0.124,0.106
0.78,0.91,0.713,0.498,0.568,0.391,0.145,0.107
0.78,0.92,0.702,0.484,0.562,0.379,0.14,0.105
0.78,0.93,0.667,0.449,0.532,0.36,0.135,0.089
0.78,0.94,0.679,0.492,0.548,0.368,0.131,0.124
0.78,0.95,0.696,0.476,0.554,0.371,0.142,0.105
0.78,0.96,0.697,0.458,0.565,0.362,0.132,0.096
0.78,0.97,0.719,0.479,0.575,0.378,0.144,0.101
0.78,0.98,0.693,0.449,0.554,0.341,0.139,0.108
0.78,0.99,0.686,0.52,0.559,0.406,0.127,0.114
0.8,0.5,0.679,0.476,0.548,0.392,0.131,0.084
0.8,0.51,0.688,0.502,0.552,0.4,0.136,0.102
0.8,0.52,0.69,0.487,0.555,0.391,0.135,0.096
0.8,0.53,0.688,0.496,0.55,0.407,0.138,0.089
0.8,0.54,0.669,0.483,0.528,0.385,0.141,0.098
0.8,0.55,0.717,0.474,0.571,0.38,0.146,0.094
0.8,0.56,0.66,0.478,0.53,0.388,0.13,0.09
0.8,0.57,0.705,0.47,0.571,0.379,0.134,0.091
0.8,0.58,0.694,0.529,0.565,0.428,0.129,0.101
0.8,0.59,0.682,0.474,0.541,0.384,0.141,0.09
0.8,0.6,0.684,0.462,0.559,0.366,0.125,0.096
0.8,0.61,0.673,0.466,0.54,0.354,0.133,0.112
0.8,0.62,0.679,0.464,0.539,0.367,0.14,0.097
0.8,0.63,0.704,0.486,0.574,0.385,0.13,0.101
0.8,0.64,0.67,0.473,0.543,0.363,0.127,0.11
0.8,0.65,0.718,0.499,0.583,0.409,0.135,0.09
0.8,0.66,0.671,0.478,0.548,0.382,0.123,0.096
0.8,0.67,0.736,0.476,0.605,0.375,0.131,0.101
0.8,0.68,0.674,0.489,0.549,0.398,0.125,0.091
0.8,0.69,0.699,0.479,0.565,0.383,0.134,0.096
0.8,0.7,0.674,0.514,0.547,0.409,0.127,0.105
0.8,0.71,0.687,0.48,0.558,0.38,0.129,0.1
0.8,0.72,0.685,0.478,0.549,0.379,0.136,0.099
0.8,0.73,0.671,0.456,0.551,0.365,0.12,0.091
0.8,0.74,0.7,0.475,0.576,0.387,0.124,0.088
0.8,0.75,0.686,0.479,0.557,0.389,0.129,0.09
0.8,0.76,0.705,0.486,0.576,0.394,0.129,0.092
0.8,0.77,0.717,0.515,0.581,0.423,0.136,0.092
0.8,0.78,0.711,0.498,0.563,0.399,0.148,0.099
0.8,0.79,0.665,0.441,0.553,0.355,0.112,0.086
0.8,0.8,0.672,0.457,0.548,0.367,0.124,0.09
0.8,0.81,0.655,0.469,0.531,0.382,0.124,0.087
0.8,0.82,0.693,0.439,0.566,0.341,0.127,0.098
0.8,0.83,0.693,0.459,0.573,0.357,0.12,0.102
0.8,0.84,0.698,0.458,0.571,0.364,0.127,0.094
0.8,0.85,0.695,0.494,0.565,0.395,0.13,0.099
0.8,0.86,0.66,0.5,0.529,0.405,0.131,0.095
0.8,0.87,0.707,0.471,0.577,0.378,0.13,0.093
0.8,0.88,0.697,0.455,0.574,0.365,0.123,0.09
0.8,0.89,0.697,0.457,0.577,0.361,0.12,0.096
0.8,0.9,0.675,0.483,0.552,0.381,0.123,0.102
0.8,0.91,0.7,0.433,0.582,0.348,0.118,0.085
0.8,0.92,0.686,0.504,0.571,0.399,0.115,0.105
0.8,0.93,0.715,0.48,0.59,0.384,0.125,0.096
0.8,0.94,0.702,0.482,0.58,0.39,0.122,0.092
0.8,0.95,0.689,0.477,0.576,0.373,0.113,0.104
0.8,0.96,0.703,0.488,0.575,0.396,0.128,0.092
0.8,0.97,0.723,0.464,0.605,0.361,0.118,0.103
0.8,0.98,0.675,0.478,0.561,0.374,0.114,0.104
0.8,0.99,0.647,0.477,0.54,0.375,0.107,0.102
0.82,0.5,0.672,0.445,0.531,0.35,0.141,0.095
0.82,0.51,0.671,0.503,0.532,0.407,0.139,0.096
0.82,0.52,0.692,0.493,0.555,0.391,0.137,0.102
0.82,0.53,0.69,0.49,0.546,0.395,0.144,0.095
0.82,0.54,0.656,0.454,0.527,0.368,0.129,0.086
0.82,0.55,0.684,0.472,0.551,0.377,0.133,0.095
0.82,0.56,0.699,0.478,0.563,0.38,0.136,0.098
0.82,0.57,0.694,0.494,0.561,0.398,0.133,0.096
0.82,0.58,0.689,0.485,0.555,0.385,0.134,0.1
0.82,0.59,0.687,0.509,0.56,0.394,0.127,0.115
0.82,0.6,0.717,0.484,0.582,0.389,0.135,0.095
0.82,0.61,0.686,0.495,0.547,0.388,0.139,0.107
0.82,0.62,0.709,0.464,0.561,0.365,0.148,0.099
0.82,0.63,0.704,0.456,0.577,0.371,0.127,0.085
0.82,0.64,0.69,0.456,0.569,0.367,0.121,0.089
0.82,0.65,0.725,0.518,0.584,0.4,0.141,0.118
0.82,0.66,0.69,0.459,0.555,0.362,0.135,0.097
0.82,0.67,0.689,0.465,0.56,0.38,0.129,0.085
0.82,0.68,0.68,0.511,0.543,0.407,0.137,0.104
0.82,0.69,0.686,0.48,0.553,0.389,0.133,0.091
0.82,0.7,0.689,0.467,0.554,0.372,0.135,0.095
0.82,0.71,0.691,0.5,0.557,0.396,0.134,0.104
0.82,0.72,0.693,0.462,0.554,0.361,0.139,0.101
0.82,0.73,0.68,0.49,0.539,0.392,0.141,0.098
0.82,0.74,0.695,0.47,0.556,0.371,0.139,0.099
0.82,0.75,0.709,0.476,0.575,0.375,0.134,0.101
0.82,0.76,0.707,0.497,0.574,0.404,0.133,0.093
0.82,0.77,0.701,0.471,0.566,0.372,0.135,0.099
0.82,0.78,0.684,0.468,0.561,0.379,0.123,0.089
0.82,0.79,0.677,0.499,0.554,0.389,0.123,0.11
0.82,0.8,0.686,0.451,0.566,0.35,0.12,0.101
0.82,0.81,0.69,0.476,0.543,0.382,0.147,0.094
0.82,0.82,0.698,0.457,0.572,0.365,0.126,0.092
0.82,0.83,0.697,0.495,0.577,0.397,0.12,0.098
0.82,0.84,0.681,0.501,0.559,0.393,0.122,0.108
0.82,0.85,0.702,0.49,0.566,0.375,0.136,0.115
0.82,0.86,0.68,0.453,0.56,0.354,0.12,0.099
0.82,0.87,0.695,0.495,0.564,0.394,0.131,0.101
0.82,0.88,0.702,0.452,0.581,0.364,0.121,0.088
0.82,0.89,0.728,0.475,0.59,0.373,0.138,0.102
0.82,0.9,0.697,0.458,0.582,0.364,0.115,0.094
0.82,0.91,0.687,0.44,0.567,0.345,0.12,0.095
0.82,0.92,0.668,0.45,0.543,0.355,0.125,0.095
0.82,0.93,0.682,0.519,0.567,0.404,0.115,0.115
0.82,0.94,0.696,0.481,0.571,0.382,0.125,0.099
0.82,0.95,0.699,0.475,0.567,0.383,0.132,0.092
0.82,0.96,0.717,0.478,0.594,0.388,0.123,0.09
0.82,0.97,0.696,0.469,0.578,0.368,0.118,0.101
0.82,0.98,0.73,0.477,0.598,0.38,0.132,0.097
0.82,0.99,0.706,0.466,0.579,0.378,0.127,0.088
0.84,0.5,0.679,0.494,0.558,0.396,0.121,0.098
0.84,0.51,0.662,0.478,0.546,0.398,0.116,0.08
0.84,0.52,0.697,0.483,0.571,0.408,0.126,0.075
0.84,0.53,0.708,0.466,0.596,0.393,0.112,0.073
0.84,0.54,0.66,0.471,0.541,0.388,0.119,0.083
0.84,0.55,0.643,0.479,0.53,0.397,0.113,0.082
0.84,0.56,0.682,0.482,0.559,0.397,0.123,0.085
0.84,0.57,0.665,0.503,0.548,0.414,0.117,0.089
0.84,0.58,0.667,0.502,0.555,0.408,0.112,0.094
0.84,0.59,0.695,0.482,0.573,0.393,0.122,0.089
0.84,0.6,0.66,0.45,0.548,0.371,0.112,0.079
0.84,0.61,0.686,0.466,0.564,0.38,0.122,0.086
0.84,0.62,0.692,0.442,0.576,0.352,0.116,0.09
0.84,0.63,0.72,0.485,0.604,0.395,0.116,0.09
0.84,0.64,0.694,0.489,0.575,0.406,0.119,0.083
0.84,0.65,0.674,0.498,0.564,0.414,0.11,0.084
0.84,0.66,0.715,0.519,0.592,0.43,0.123,0.089
0.84,0.67,0.69,0.506,0.571,0.412,0.119,0.094
0.84,0.68,0.69,0.49,0.578,0.404,0.112,0.086
0.84,0.69,0.675,0.484,0.565,0.401,0.11,0.083
0.84,0.7,0.685,0.504,0.572,0.402,0.113,0.102
0.84,0.71,0.743,0.522,0.625,0.418,0.118,0.104
0.84,0.72,0.706,0.485,0.597,0.399,0.109,0.086
0.84,0.73,0.671,0.473,0.566,0.391,0.105,0.082
0.84,0.74,0.71,0.475,0.592,0.391,0.118,0.084
0.84,0.75,0.693,0.456,0.576,0.366,0.117,0.09
0.84,0.76,0.697,0.455,0.588,0.367,0.109,0.088
0.84,0.77,0.689,0.491,0.568,0.397,0.121,0.094
0.84,0.78,0.684,0.469,0.571,0.38,0.113,0.089
0.84,0.79,0.647,0.438,0.536,0.354,0.111,0.084
0.84,0.8,0.661,0.458,0.555,0.361,0.106,0.097
0.84,0.81,0.679,0.481,0.566,0.4,0.113,0.081
0.84,0.82,0.718,0.496,0.616,0.406,0.102,0.09
0.84,0.83,0.713,0.505,0.599,0.412,0.114,0.093
0.84,0.84,0.724,0.504,0.609,0.41,0.115,0.094
0.84,0.85,0.707,0.479,0.594,0.388,0.113,0.091
0.84,0.86,0.726,0.47,0.609,0.388,0.117,0.082
0.84,0.87,0.694,0.474,0.595,0.389,0.099,0.085
0.84,0.88,0.694,0.434,0.588,0.366,0.106,0.068
0.84,0.89,0.708,0.488,0.605,0.404,0.103,0.084
0.84,0.9,0.685,0.518,0.58,0.42,0.105,0.098
0.84,0.91,0.704,0.481,0.592,0.398,0.112,0.083
0.84,0.92,0.704,0.479,0.599,0.394,0.105,0.085
0.84,0.93,0.691,0.475,0.591,0.393,0.1,0.082
0.84,0.94,0.666,0.473,0.566,0.39,0.1,0.083
0.84,0.95,0.686,0.481,0.58,0.411,0.106,0.07
0.84,0.96,0.688,0.497,0.583,0.402,0.105,0.095
0.84,0.97,0.68,0.484,0.577,0.405,0.103,0.079
0.84,0.98,0.718,0.483,0.612,0.391,0.106,0.092
0.84,0.99,0.694,0.46,0.584,0.374,0.11,0.086
0.86,0.5,0.641,0.492,0.55,0.413,0.091,0.079
0.86,0.51,0.642,0.449,0.548,0.376,0.094,0.073
0.86,0.52,0.67,0.451,0.567,0.379,0.103,0.072
0.86,0.53,0.622,0.43,0.531,0.366,0.091,0.064
0.86,0.54,0.682,0.487,0.578,0.417,0.104,0.07
0.86,0.55,0.696,0.505,0.589,0.426,0.107,0.079
0.86,0.56,0.681,0.47,0.579,0.396,0.102,0.074
0.86,0.57,0.673,0.448,0.564,0.374,0.109,0.074
0.86,0.58,0.708,0.49,0.598,0.416,0.11,0.074
0.86,0.59,0.677,0.47,0.576,0.396,0.101,0.074
0.86,0.6,0.682,0.514,0.576,0.442,0.106,0.072
0.86,0.61,0.674,0.495,0.576,0.425,0.098,0.07
0.86,0.62,0.685,0.501,0.574,0.409,0.111,0.092
0.86,0.63,0.696,0.485,0.596,0.418,0.1,0.067
0.86,0.64,0.685,0.463,0.58,0.388,0.105,0.075
0.86,0.65,0.682,0.492,0.576,0.411,0.106,0.081
0.86,0.66,0.702,0.489,0.593,0.422,0.109,0.067
0.86,0.67,0.695,0.445,0.592,0.372,0.103,0.073
0.86,0.68,0.684,0.481,0.585,0.404,0.099,0.077
0.86,0.69,0.682,0.495,0.575,0.425,0.107,0.07
0.86,0.7,0.71,0.453,0.609,0.386,0.101,0.067
0.86,0.71,0.675,0.495,0.575,0.414,0.1,0.081
0.86,0.72,0.682,0.465,0.576,0.398,0.106,0.067
0.86,0.73,0.688,0.496,0.589,0.406,0.099,0.09
0.86,0.74,0.712,0.483,0.6,0.407,0.112,0.076
0.86,0.75,0.685,0.478,0.588,0.399,0.097,0.079
0.86,0.76,0.728,0.487,0.618,0.411,0.11,0.076
0.86,0.77,0.706,0.493,0.606,0.414,0.1,0.079
0.86,0.78,0.693,0.505,0.59,0.429,0.103,0.076
0.86,0.79,0.697,0.485,0.595,0.402,0.102,0.083
0.86,0.8,0.692,0.485,0.588,0.407,0.104,0.078
0.86,0.81,0.702,0.486,0.605,0.413,0.097,0.073
0.86,0.82,0.71,0.459,0.612,0.39,0.098,0.069
0.86,0.83,0.706,0.482,0.601,0.401,0.105,0.081
0.86,0.84,0.712,0.477,0.609,0.399,0.103,0.078
0.86,0.85,0.689,0.491,0.599,0.414,0.09,0.077
0.86,0.86,0.708,0.472,0.607,0.406,0.101,0.066
0.86,0.87,0.674,0.501,0.582,0.425,0.092,0.076
0.86,0.88,0.67,0.483,0.583,0.398,0.087,0.085
0.86,0.89,0.695,0.468,0.6,0.384,0.095,0.084
0.86,0.9,0.693,0.477,0.597,0.403,0.096,0.074
0.86,0.91,0.69,0.484,0.595,0.414,0.095,0.07
0.86,0.92,0.718,0.473,0.623,0.399,0.095,0.074
0.86,0.93,0.718,0.491,0.617,0.418,0.101,0.073
0.86,0.94,0.704,0.483,0.604,0.401,0.1,0.082
0.86,0.95,0.71,0.471,0.604,0.397,0.106,0.074
0.86,0.96,0.718,0.474,0.626,0.394,0.092,0.08
0.86,0.97,0.7,0.476,0.609,0.397,0.091,0.079
0.86,0.98,0.706,0.468,0.608,0.406,0.098,0.062
0.86,0.99,0.654,0.457,0.566,0.386,0.088,0.071
0.88,0.5,0.675,0.502,0.591,0.44,0.084,0.062
0.88,0.51,0.68,0.498,0.605,0.44,0.075,0.058
0.88,0.52,0.707,0.514,0.621,0.456,0.086,0.058
0.88,0.53,0.688,0.485,0.606,0.422,0.082,0.063
0.88,0.54,0.685,0.52,0.61,0.451,0.075,0.069
0.88,0.55,0.687,0.504,0.61,0.445,0.077,0.059
0.88,0.56,0.656,0.453,0.582,0.399,0.074,0.054
0.88,0.57,0.64,0.458,0.562,0.405,0.078,0.053
0.88,0.58,0.695,0.51,0.615,0.449,0.08,0.061
0.88,0.59,0.715,0.493,0.633,0.438,0.082,0.055
0.88,0.6,0.662,0.493,0.586,0.439,0.076,0.054
0.88,0.61,0.688,0.487,0.616,0.425,0.072,0.062
0.88,0.62,0.688,0.465,0.606,0.406,0.082,0.059
0.88,0.63,0.679,0.48,0.605,0.416,0.074,0.064
0.88,0.64,0.676,0.498,0.603,0.431,0.073,0.067
0.88,0.65,0.722,0.48,0.643,0.422,0.079,0.058
0.88,0.66,0.699,0.461,0.616,0.408,0.083,0.053
0.88,0.67,0.707,0.507,0.628,0.447,0.079,0.06
0.88,0.68,0.7,0.471,0.628,0.415,0.072,0.056
0.88,0.69,0.694,0.464,0.611,0.402,0.083,0.062
0.88,0.7,0.68,0.523,0.606,0.456,0.074,0.067
0.88,0.71,0.695,0.469,0.608,0.409,0.087,0.06
0.88,0.72,0.71,0.481,0.63,0.428,0.08,0.053
0.88,0.73,0.698,0.463,0.621,0.409,0.077,0.054
0.88,0.74,0.677,0.484,0.602,0.424,0.075,0.06
