"alpha","lamda2","rho_A","rho_I","rho_Ah","rho_Ih","rho_Al","rho_Il"
0.46,0.62,0.722,0.5312,0.3798,0.2626,0.3422,0.2686
0.46,0.64,0.7084,0.548,0.3686,0.276,0.3398,0.272
0.46,0.66,0.7286,0.5112,0.3848,0.2566,0.3438,0.2546
0.46,0.68,0.7192,0.5238,0.381,0.2632,0.3382,0.2606
0.46,0.7,0.7236,0.5054,0.3838,0.2488,0.3398,0.2566
0.46,0.72,0.7234,0.5466,0.3846,0.2684,0.3388,0.2782
0.46,0.74,0.7356,0.5378,0.3874,0.2668,0.3482,0.271
0.46,0.76,0.7064,0.4986,0.3696,0.2498,0.3368,0.2488
0.46,0.78,0.7212,0.5402,0.3796,0.2656,0.3416,0.2746
0.46,0.8,0.7316,0.505,0.3794,0.2486,0.3522,0.2564
0.46,0.82,0.7012,0.5318,0.3764,0.264,0.3248,0.2678
0.46,0.84,0.7204,0.5024,0.3804,0.2494,0.34,0.253
0.46,0.86,0.7402,0.5452,0.3916,0.2662,0.3486,0.279
0.46,0.88,0.7306,0.4868,0.394,0.246,0.3366,0.2408
0.46,0.9,0.7506,0.5162,0.3926,0.2572,0.358,0.259
0.46,0.92,0.7602,0.5334,0.398,0.2612,0.3622,0.2722
0.46,0.94,0.7512,0.5196,0.3958,0.2662,0.3554,0.2534
0.46,0.96,0.726,0.5288,0.3818,0.2602,0.3442,0.2686
0.46,0.98,0.7494,0.5012,0.3924,0.2506,0.357,0.2506
0.46,1,0.738,0.49,0.3832,0.2422,0.3548,0.2478
0.48,0.02,0.6646,0.5432,0.3504,0.2738,0.3142,0.2694
0.48,0.04,0.7002,0.5286,0.3588,0.2594,0.3414,0.2692
0.48,0.06,0.6716,0.5264,0.3546,0.2566,0.317,0.2698
0.48,0.08,0.6732,0.5106,0.3486,0.2438,0.3246,0.2668
0.48,0.1,0.7038,0.5374,0.3718,0.2684,0.332,0.269
0.48,0.12,0.6844,0.519,0.3604,0.2536,0.324,0.2654
0.48,0.14,0.6984,0.4792,0.3604,0.2346,0.338,0.2446
0.48,0.16,0.7022,0.4978,0.3664,0.248,0.3358,0.2498
0.48,0.18,0.678,0.5408,0.354,0.2682,0.324,0.2726
0.48,0.2,0.6996,0.5276,0.3608,0.2612,0.3388,0.2664
0.48,0.22,0.686,0.514,0.3582,0.2512,0.3278,0.2628
0.48,0.24,0.6908,0.5408,0.3636,0.2696,0.3272,0.2712
0.48,0.26,0.6882,0.518,0.3606,0.2588,0.3276,0.2592
0.48,0.28,0.7358,0.5408,0.38,0.2702,0.3558,0.2706
0.48,0.3,0.7336,0.5212,0.376,0.2574,0.3576,0.2638
0.48,0.32,0.715,0.5174,0.3752,0.2574,0.3398,0.26
0.48,0.34,0.727,0.527,0.3806,0.2642,0.3464,0.2628
0.48,0.36,0.7254,0.5468,0.378,0.2702,0.3474,0.2766
0.48,0.38,0.7054,0.4908,0.3672,0.245,0.3382,0.2458
0.48,0.4,0.7122,0.5056,0.3708,0.2548,0.3414,0.2508
0.48,0.42,0.7094,0.4768,0.3686,0.2374,0.3408,0.2394
0.48,0.44,0.7072,0.5312,0.3716,0.266,0.3356,0.2652
0.48,0.46,0.7056,0.537,0.3656,0.2712,0.34,0.2658
0.48,0.48,0.7172,0.5338,0.3776,0.266,0.3396,0.2678
0.48,0.5,0.7254,0.5364,0.3772,0.2686,0.3482,0.2678
0.48,0.52,0.7192,0.4882,0.3782,0.2426,0.341,0.2456
0.48,0.54,0.7094,0.5174,0.3782,0.2564,0.3312,0.261
0.48,0.56,0.733,0.5106,0.3838,0.26,0.3492,0.2506
0.48,0.58,0.7118,0.5198,0.3746,0.2598,0.3372,0.26
0.48,0.6,0.7052,0.5496,0.3686,0.2776,0.3366,0.272
0.48,0.62,0.7126,0.538,0.373,0.268,0.3396,0.27
0.48,0.64,0.7398,0.533,0.3928,0.2744,0.347,0.2586
0.48,0.66,0.7448,0.5246,0.3872,0.2576,0.3576,0.267
0.48,0.68,0.7364,0.5462,0.3838,0.2708,0.3526,0.2754
0.48,0.7,0.7354,0.5318,0.385,0.261,0.3504,0.2708
0.48,0.72,0.7218,0.5012,0.3794,0.253,0.3424,0.2482
0.48,0.74,0.7282,0.4944,0.3822,0.2436,0.346,0.2508
0.48,0.76,0.7112,0.5062,0.3836,0.2552,0.3276,0.251
0.48,0.78,0.6892,0.5344,0.3692,0.2616,0.32,0.2728
0.48,0.8,0.7476,0.4988,0.3868,0.2494,0.3608,0.2494
0.48,0.82,0.7278,0.543,0.3882,0.2652,0.3396,0.2778
0.48,0.84,0.7408,0.5146,0.3934,0.251,0.3474,0.2636
0.48,0.86,0.7076,0.5184,0.376,0.2564,0.3316,0.262
0.48,0.88,0.727,0.5382,0.3792,0.2706,0.3478,0.2676
0.48,0.9,0.7208,0.5354,0.3804,0.2706,0.3404,0.2648
0.48,0.92,0.728,0.5242,0.3888,0.26,0.3392,0.2642
0.48,0.94,0.7556,0.5412,0.395,0.2694,0.3606,0.2718
0.48,0.96,0.741,0.5182,0.3924,0.2596,0.3486,0.2586
0.48,0.98,0.7402,0.518,0.3876,0.2552,0.3526,0.2628
0.48,1,0.7434,0.5276,0.3896,0.2616,0.3538,0.266
0.5,0.02,0.6834,0.5066,0.3464,0.2508,0.337,0.2558
0.5,0.04,0.6898,0.5282,0.359,0.26,0.3308,0.2682
0.5,0.06,0.6894,0.5288,0.36,0.2602,0.3294,0.2686
0.5,0.08,0.6902,0.5262,0.365,0.264,0.3252,0.2622
0.5,0.1,0.7054,0.5418,0.3688,0.2698,0.3366,0.272
0.5,0.12,0.6982,0.5094,0.361,0.2478,0.3372,0.2616
0.5,0.14,0.6792,0.5602,0.3528,0.2792,0.3264,0.281
0.5,0.16,0.703,0.527,0.3642,0.2646,0.3388,0.2624
0.5,0.18,0.68,0.511,0.361,0.2488,0.319,0.2622
0.5,0.2,0.6806,0.5286,0.36,0.2652,0.3206,0.2634
0.5,0.22,0.676,0.5408,0.3514,0.2702,0.3246,0.2706
0.5,0.24,0.7016,0.5096,0.3634,0.251,0.3382,0.2586
0.5,0.26,0.7114,0.524,0.367,0.2628,0.3444,0.2612
0.5,0.28,0.6724,0.5134,0.3536,0.2532,0.3188,0.2602
0.5,0.3,0.7008,0.4924,0.3666,0.2424,0.3342,0.25
0.5,0.32,0.7138,0.5322,0.3782,0.2676,0.3356,0.2646
0.5,0.34,0.6828,0.5086,0.3598,0.2516,0.323,0.257
0.5,0.36,0.717,0.489,0.374,0.2444,0.343,0.2446
0.5,0.38,0.6996,0.5318,0.3658,0.2684,0.3338,0.2634
0.5,0.4,0.708,0.521,0.376,0.2594,0.332,0.2616
0.5,0.42,0.7196,0.5478,0.371,0.2702,0.3486,0.2776
0.5,0.44,0.6942,0.492,0.3674,0.242,0.3268,0.25
0.5,0.46,0.707,0.4826,0.3716,0.2356,0.3354,0.247
0.5,0.48,0.7102,0.513,0.3714,0.2528,0.3388,0.2602
0.5,0.5,0.6904,0.5146,0.3578,0.251,0.3326,0.2636
0.5,0.52,0.705,0.502,0.3734,0.253,0.3316,0.249
0.5,0.54,0.725,0.5268,0.3786,0.2628,0.3464,0.264
0.5,0.56,0.7172,0.5352,0.3766,0.265,0.3406,0.2702
0.5,0.58,0.7134,0.5246,0.3722,0.2642,0.3412,0.2604
0.5,0.6,0.7368,0.4892,0.3812,0.2438,0.3556,0.2454
0.5,0.62,0.715,0.5074,0.3718,0.2494,0.3432,0.258
0.5,0.64,0.7094,0.4918,0.3772,0.2512,0.3322,0.2406
0.5,0.66,0.7088,0.521,0.3776,0.2546,0.3312,0.2664
0.5,0.68,0.7112,0.5308,0.377,0.2666,0.3342,0.2642
0.5,0.7,0.7292,0.5128,0.385,0.2554,0.3442,0.2574
0.5,0.72,0.7216,0.5088,0.3798,0.2514,0.3418,0.2574
0.5,0.74,0.7038,0.5298,0.372,0.2622,0.3318,0.2676
0.5,0.76,0.7468,0.4984,0.3916,0.2536,0.3552,0.2448
0.5,0.78,0.7204,0.5212,0.3814,0.2582,0.339,0.263
0.5,0.8,0.7118,0.5372,0.3766,0.2742,0.3352,0.263
0.5,0.82,0.7516,0.4952,0.3916,0.2486,0.36,0.2466
0.5,0.84,0.7156,0.528,0.3736,0.2602,0.342,0.2678
0.5,0.86,0.7558,0.5066,0.394,0.2558,0.3618,0.2508
0.5,0.88,0.707,0.5586,0.3792,0.2844,0.3278,0.2742
0.5,0.9,0.74,0.5188,0.3918,0.2618,0.3482,0.257
0.5,0.92,0.734,0.5408,0.392,0.2678,0.342,0.273
0.5,0.94,0.7256,0.4826,0.3874,0.2358,0.3382,0.2468
0.5,0.96,0.725,0.5078,0.3818,0.251,0.3432,0.2568
0.5,0.98,0.7226,0.5262,0.3822,0.2654,0.3404,0.2608
0.5,1,0.7336,0.5014,0.3906,0.2466,0.343,0.2548
0.52,0.02,0.6912,0.4898,0.3606,0.235,0.3306,0.2548
0.52,0.04,0.7078,0.5108,0.3628,0.2554,0.345,0.2554
0.52,0.06,0.7186,0.542,0.3736,0.273,0.345,0.269
0.52,0.08,0.7062,0.537,0.3688,0.2654,0.3374,0.2716
0.52,0.1,0.6964,0.4926,0.36,0.2492,0.3364,0.2434
0.52,0.12,0.6872,0.5294,0.3608,0.2648,0.3264,0.2646
0.52,0.14,0.693,0.4978,0.3588,0.243,0.3342,0.2548
0.52,0.16,0.693,0.5516,0.3552,0.2788,0.3378,0.2728
0.52,0.18,0.682,0.525,0.3496,0.2606,0.3324,0.2644
0.52,0.2,0.6794,0.5156,0.3566,0.254,0.3228,0.2616
0.52,0.22,0.697,0.5148,0.3608,0.2566,0.3362,0.2582
0.52,0.24,0.664,0.527,0.351,0.2606,0.313,0.2664
0.52,0.26,0.6774,0.5384,0.3576,0.2678,0.3198,0.2706
0.52,0.28,0.6882,0.49,0.3634,0.2548,0.3248,0.2352
0.52,0.3,0.6878,0.5302,0.3616,0.267,0.3262,0.2632
0.52,0.32,0.6938,0.5256,0.3608,0.2664,0.333,0.2592
0.52,0.34,0.6944,0.5278,0.3614,0.2626,0.333,0.2652
0.52,0.36,0.6886,0.4944,0.3664,0.2476,0.3222,0.2468
0.52,0.38,0.6878,0.5192,0.363,0.2592,0.3248,0.26
0.52,0.4,0.7186,0.5212,0.377,0.2644,0.3416,0.2568
0.52,0.42,0.7154,0.5064,0.3736,0.256,0.3418,0.2504
0.52,0.44,0.7084,0.5758,0.3704,0.289,0.338,0.2868
0.52,0.46,0.7046,0.5092,0.3732,0.2526,0.3314,0.2566
0.52,0.48,0.7492,0.526,0.3904,0.2626,0.3588,0.2634
0.52,0.5,0.7128,0.5028,0.3756,0.2498,0.3372,0.253
0.52,0.52,0.7224,0.5318,0.3828,0.2664,0.3396,0.2654
0.52,0.54,0.6966,0.5234,0.3672,0.2604,0.3294,0.263
0.52,0.56,0.716,0.5204,0.381,0.2582,0.335,0.2622
0.52,0.58,0.6962,0.534,0.3662,0.267,0.33,0.267
0.52,0.6,0.7332,0.5068,0.3846,0.2548,0.3486,0.252
0.52,0.62,0.7036,0.5134,0.3742,0.2552,0.3294,0.2582
0.52,0.64,0.7176,0.5274,0.3708,0.263,0.3468,0.2644
0.52,0.66,0.6936,0.4966,0.3648,0.2468,0.3288,0.2498
0.52,0.68,0.703,0.5116,0.374,0.2588,0.329,0.2528
0.52,0.7,0.7304,0.4914,0.39,0.2456,0.3404,0.2458
0.52,0.72,0.7336,0.5172,0.3898,0.2596,0.3438,0.2576
0.52,0.74,0.7144,0.548,0.3758,0.2746,0.3386,0.2734
0.52,0.76,0.7444,0.5514,0.3936,0.2636,0.3508,0.2878
0.52,0.78,0.738,0.519,0.386,0.2564,0.352,0.2626
0.52,0.8,0.7234,0.5458,0.3794,0.2766,0.344,0.2692
0.52,0.82,0.7296,0.4914,0.3824,0.2372,0.3472,0.2542
0.52,0.84,0.7154,0.5496,0.3764,0.275,0.339,0.2746
0.52,0.86,0.7506,0.469,0.3946,0.23,0.356,0.239
0.52,0.88,0.7214,0.526,0.38,0.2618,0.3414,0.2642
0.52,0.9,0.7402,0.517,0.3866,0.2626,0.3536,0.2544
0.52,0.92,0.7282,0.5064,0.3918,0.2522,0.3364,0.2542
0.52,0.94,0.7368,0.537,0.3862,0.2644,0.3506,0.2726
0.52,0.96,0.7388,0.535,0.3836,0.2592,0.3552,0.2758
0.52,0.98,0.7504,0.491,0.4002,0.2464,0.3502,0.2446
0.52,1,0.7358,0.5406,0.3832,0.2652,0.3526,0.2754
0.54,0.02,0.6648,0.4968,0.3428,0.2478,0.322,0.249
0.54,0.04,0.6986,0.5182,0.362,0.258,0.3366,0.2602
0.54,0.06,0.6974,0.5274,0.358,0.2602,0.3394,0.2672
0.54,0.08,0.698,0.5142,0.3636,0.2536,0.3344,0.2606
0.54,0.1,0.693,0.5114,0.3642,0.2572,0.3288,0.2542
0.54,0.12,0.6988,0.4676,0.3676,0.2292,0.3312,0.2384
0.54,0.14,0.6992,0.4958,0.3598,0.2408,0.3394,0.255
0.54,0.16,0.687,0.4974,0.3606,0.2532,0.3264,0.2442
0.54,0.18,0.7086,0.5142,0.3646,0.2518,0.344,0.2624
0.54,0.2,0.6866,0.542,0.3646,0.2702,0.322,0.2718
0.54,0.22,0.6882,0.517,0.361,0.262,0.3272,0.255
0.54,0.24,0.7086,0.5366,0.3754,0.265,0.3332,0.2716
0.54,0.26,0.6882,0.5076,0.3576,0.2464,0.3306,0.2612
0.54,0.28,0.692,0.5242,0.362,0.2656,0.33,0.2586
0.54,0.3,0.7042,0.5178,0.3646,0.2544,0.3396,0.2634
0.54,0.32,0.7172,0.5164,0.3748,0.2562,0.3424,0.2602
0.54,0.34,0.717,0.4858,0.3734,0.2428,0.3436,0.243
0.54,0.36,0.724,0.496,0.3816,0.2464,0.3424,0.2496
0.54,0.38,0.7004,0.5164,0.3698,0.2528,0.3306,0.2636
0.54,0.4,0.7088,0.5352,0.3738,0.273,0.335,0.2622
0.54,0.42,0.6976,0.5252,0.3644,0.2698,0.3332,0.2554
0.54,0.44,0.6966,0.5058,0.3644,0.2568,0.3322,0.249
0.54,0.46,0.716,0.5138,0.3804,0.26,0.3356,0.2538
0.54,0.48,0.6818,0.5518,0.3616,0.2814,0.3202,0.2704
0.54,0.5,0.7112,0.5072,0.3734,0.2504,0.3378,0.2568
0.54,0.52,0.7228,0.4992,0.3778,0.2442,0.345,0.255
0.54,0.54,0.6788,0.5308,0.359,0.2606,0.3198,0.2702
0.54,0.56,0.7278,0.544,0.3852,0.2742,0.3426,0.2698
0.54,0.58,0.7154,0.51,0.3726,0.2494,0.3428,0.2606
0.54,0.6,0.7144,0.5192,0.3744,0.2512,0.34,0.268
0.54,0.62,0.7218,0.4878,0.379,0.246,0.3428,0.2418
0.54,0.64,0.7218,0.5096,0.3768,0.2508,0.345,0.2588
0.54,0.66,0.7264,0.5152,0.383,0.2516,0.3434,0.2636
0.54,0.68,0.7178,0.4726,0.3738,0.2326,0.344,0.24
0.54,0.7,0.7292,0.5276,0.3816,0.26,0.3476,0.2676
0.54,0.72,0.7468,0.4754,0.3876,0.2318,0.3592,0.2436
0.54,0.74,0.7334,0.4928,0.3816,0.2412,0.3518,0.2516
0.54,0.76,0.7006,0.5194,0.3726,0.2498,0.328,0.2696
0.54,0.78,0.7312,0.4612,0.3848,0.2282,0.3464,0.233
0.54,0.8,0.6928,0.515,0.3688,0.2516,0.324,0.2634
0.54,0.82,0.7162,0.51,0.3776,0.257,0.3386,0.253
0.54,0.84,0.713,0.5222,0.3746,0.2568,0.3384,0.2654
0.54,0.86,0.7152,0.5102,0.3802,0.248,0.335,0.2622
0.54,0.88,0.729,0.5118,0.3858,0.2562,0.3432,0.2556
0.54,0.9,0.751,0.5212,0.3916,0.2578,0.3594,0.2634
0.54,0.92,0.7256,0.507,0.387,0.2496,0.3386,0.2574
0.54,0.94,0.7216,0.5022,0.3772,0.2476,0.3444,0.2546
0.54,0.96,0.7366,0.5118,0.3924,0.255,0.3442,0.2568
0.54,0.98,0.7394,0.5082,0.3906,0.2562,0.3488,0.252
0.54,1,0.745,0.4788,0.394,0.231,0.351,0.2478
0.56,0.02,0.6962,0.4668,0.3632,0.2274,0.333,0.2394
0.56,0.04,0.6762,0.4868,0.3544,0.2436,0.3218,0.2432
0.56,0.06,0.6792,0.476,0.3478,0.2318,0.3314,0.2442
0.56,0.08,0.6776,0.515,0.357,0.258,0.3206,0.257
0.56,0.1,0.705,0.5332,0.3672,0.2698,0.3378,0.2634
0.56,0.12,0.7076,0.4996,0.3708,0.2442,0.3368,0.2554
0.56,0.14,0.6474,0.5394,0.3432,0.269,0.3042,0.2704
0.56,0.16,0.6862,0.4772,0.3644,0.2382,0.3218,0.239
0.56,0.18,0.7114,0.4828,0.3704,0.2408,0.341,0.242
0.56,0.2,0.6602,0.537,0.3484,0.267,0.3118,0.27
0.56,0.22,0.7054,0.4884,0.3638,0.245,0.3416,0.2434
0.56,0.24,0.7032,0.5258,0.365,0.2644,0.3382,0.2614
0.56,0.26,0.7168,0.4834,0.3754,0.2362,0.3414,0.2472
0.56,0.28,0.7102,0.4972,0.3706,0.2472,0.3396,0.25
0.56,0.3,0.7114,0.5164,0.3746,0.2558,0.3368,0.2606
0.56,0.32,0.6952,0.5332,0.366,0.2686,0.3292,0.2646
0.56,0.34,0.7192,0.5184,0.37,0.257,0.3492,0.2614
0.56,0.36,0.6878,0.492,0.3562,0.2428,0.3316,0.2492
0.56,0.38,0.6748,0.492,0.3558,0.2436,0.319,0.2484
0.56,0.4,0.7102,0.4768,0.3688,0.24,0.3414,0.2368
0.56,0.42,0.698,0.4982,0.3628,0.2538,0.3352,0.2444
0.56,0.44,0.7202,0.463,0.3742,0.2312,0.346,0.2318
0.56,0.46,0.6972,0.5204,0.3692,0.258,0.328,0.2624
0.56,0.48,0.7136,0.4516,0.3772,0.2242,0.3364,0.2274
0.56,0.5,0.7184,0.5244,0.3768,0.2628,0.3416,0.2616
0.56,0.52,0.7178,0.497,0.3752,0.2508,0.3426,0.2462
0.56,0.54,0.7044,0.5194,0.3698,0.261,0.3346,0.2584
0.56,0.56,0.7032,0.5268,0.369,0.2594,0.3342,0.2674
0.56,0.58,0.7194,0.4754,0.3768,0.2384,0.3426,0.237
0.56,0.6,0.697,0.5306,0.3732,0.2696,0.3238,0.261
0.56,0.62,0.7122,0.5342,0.3754,0.2622,0.3368,0.272
0.56,0.64,0.7312,0.525,0.3816,0.268,0.3496,0.257
0.56,0.66,0.7056,0.5216,0.3688,0.2566,0.3368,0.265
0.56,0.68,0.7208,0.5134,0.3772,0.2538,0.3436,0.2596
0.56,0.7,0.7216,0.5214,0.3724,0.2588,0.3492,0.2626
0.56,0.72,0.728,0.4976,0.3818,0.2474,0.3462,0.2502
0.56,0.74,0.7376,0.4738,0.3886,0.237,0.349,0.2368
0.56,0.76,0.7036,0.5146,0.3704,0.2484,0.3332,0.2662
0.56,0.78,0.7272,0.4814,0.3862,0.2418,0.341,0.2396
0.56,0.8,0.7326,0.5266,0.384,0.2636,0.3486,0.263
0.56,0.82,0.7266,0.4932,0.3784,0.2472,0.3482,0.246
0.56,0.84,0.7176,0.505,0.3766,0.2528,0.341,0.2522
0.56,0.86,0.7328,0.4976,0.386,0.2414,0.3468,0.2562
0.56,0.88,0.737,0.5076,0.3898,0.2576,0.3472,0.25
0.56,0.9,0.7126,0.516,0.3742,0.2518,0.3384,0.2642
0.56,0.92,0.7172,0.5258,0.3718,0.2664,0.3454,0.2594
0.56,0.94,0.75,0.4812,0.3936,0.2416,0.3564,0.2396
0.56,0.96,0.721,0.5208,0.3866,0.266,0.3344,0.2548
0.56,0.98,0.7096,0.4962,0.3748,0.251,0.3348,0.2452
0.56,1,0.7338,0.5306,0.3898,0.266,0.344,0.2646
0.58,0.02,0.7096,0.479,0.3686,0.2406,0.341,0.2384
0.58,0.04,0.6886,0.4966,0.3568,0.2488,0.3318,0.2478
0.58,0.06,0.695,0.4644,0.3626,0.2286,0.3324,0.2358
0.58,0.08,0.6812,0.486,0.3492,0.237,0.332,0.249
0.58,0.1,0.6738,0.4976,0.357,0.2508,0.3168,0.2468
0.58,0.12,0.7096,0.4722,0.3692,0.2412,0.3404,0.231
0.58,0.14,0.683,0.4906,0.3564,0.2402,0.3266,0.2504
0.58,0.16,0.6662,0.5262,0.345,0.2624,0.3212,0.2638
0.58,0.18,0.6934,0.53,0.3652,0.2694,0.3282,0.2606
0.58,0.2,0.6888,0.514,0.3616,0.2544,0.3272,0.2596
0.58,0.22,0.7082,0.4878,0.37,0.2448,0.3382,0.243
0.58,0.24,0.6576,0.5342,0.3474,0.2658,0.3102,0.2684
0.58,0.26,0.6854,0.536,0.3554,0.2654,0.33,0.2706
0.58,0.28,0.693,0.4852,0.3626,0.2362,0.3304,0.249
0.58,0.3,0.6882,0.4912,0.361,0.2464,0.3272,0.2448
0.58,0.32,0.7098,0.503,0.3694,0.245,0.3404,0.258
0.58,0.34,0.6984,0.5016,0.3666,0.2476,0.3318,0.254
0.58,0.36,0.7114,0.4518,0.369,0.2212,0.3424,0.2306
0.58,0.38,0.7264,0.5184,0.3762,0.248,0.3502,0.2704
0.58,0.4,0.6988,0.5182,0.364,0.2566,0.3348,0.2616
0.58,0.42,0.7138,0.4902,0.3728,0.2444,0.341,0.2458
0.58,0.44,0.73,0.5194,0.3886,0.2584,0.3414,0.261
0.58,0.46,0.7114,0.4912,0.3758,0.2438,0.3356,0.2474
0.58,0.48,0.6988,0.505,0.3644,0.2596,0.3344,0.2454
0.58,0.5,0.6892,0.4982,0.3616,0.2498,0.3276,0.2484
0.58,0.52,0.735,0.527,0.386,0.264,0.349,0.263
0.58,0.54,0.7164,0.5168,0.3786,0.251,0.3378,0.2658
0.58,0.56,0.7094,0.5012,0.3752,0.25,0.3342,0.2512
0.58,0.58,0.7132,0.5092,0.3776,0.2528,0.3356,0.2564
0.58,0.6,0.7174,0.535,0.3754,0.2652,0.342,0.2698
0.58,0.62,0.6766,0.492,0.3614,0.2438,0.3152,0.2482
0.58,0.64,0.6902,0.5044,0.3606,0.25,0.3296,0.2544
0.58,0.66,0.7102,0.489,0.3738,0.248,0.3364,0.241
0.58,0.68,0.709,0.4986,0.3698,0.2418,0.3392,0.2568
0.58,0.7,0.7206,0.4772,0.3822,0.2416,0.3384,0.2356
0.58,0.72,0.7184,0.4812,0.3742,0.2426,0.3442,0.2386
0.58,0.74,0.7204,0.5038,0.3786,0.246,0.3418,0.2578
0.58,0.76,0.7172,0.4958,0.382,0.25,0.3352,0.2458
0.58,0.78,0.7054,0.5284,0.3752,0.26,0.3302,0.2684
0.58,0.8,0.6946,0.4998,0.3746,0.2526,0.32,0.2472
0.58,0.82,0.7258,0.5172,0.3794,0.2526,0.3464,0.2646
0.58,0.84,0.7234,0.5446,0.3784,0.2678,0.345,0.2768
0.58,0.86,0.7398,0.453,0.3904,0.2298,0.3494,0.2232
0.58,0.88,0.7188,0.5,0.3836,0.2502,0.3352,0.2498
0.58,0.9,0.7082,0.5126,0.373,0.254,0.3352,0.2586
0.58,0.92,0.7138,0.502,0.3774,0.2542,0.3364,0.2478
0.58,0.94,0.7388,0.5158,0.3886,0.2534,0.3502,0.2624
0.58,0.96,0.705,0.4876,0.3798,0.239,0.3252,0.2486
0.58,0.98,0.7206,0.4994,0.3792,0.2514,0.3414,0.248
0.58,1,0.733,0.4866,0.391,0.2466,0.342,0.24
0.6,0.02,0.687,0.5272,0.352,0.2584,0.335,0.2688
0.6,0.04,0.6736,0.498,0.3522,0.2494,0.3214,0.2486
0.6,0.06,0.6754,0.4848,0.3544,0.2444,0.321,0.2404
0.6,0.08,0.6474,0.514,0.336,0.254,0.3114,0.26
0.6,0.1,0.6678,0.5398,0.347,0.2646,0.3208,0.2752
0.6,0.12,0.6578,0.5022,0.3496,0.2508,0.3082,0.2514
0.6,0.14,0.679,0.5012,0.3564,0.2456,0.3226,0.2556
0.6,0.16,0.6628,0.4954,0.352,0.2466,0.3108,0.2488
0.6,0.18,0.664,0.543,0.348,0.2708,0.316,0.2722
0.6,0.2,0.6792,0.5092,0.363,0.2558,0.3162,0.2534
0.6,0.22,0.7152,0.475,0.368,0.2358,0.3472,0.2392
0.6,0.24,0.694,0.4948,0.363,0.246,0.331,0.2488
0.6,0.26,0.7162,0.5056,0.3678,0.2522,0.3484,0.2534
0.6,0.28,0.6944,0.5044,0.3676,0.2556,0.3268,0.2488
0.6,0.3,0.6922,0.5296,0.3618,0.2578,0.3304,0.2718
0.6,0.32,0.7162,0.4908,0.379,0.2426,0.3372,0.2482
0.6,0.34,0.7158,0.5064,0.3672,0.2534,0.3486,0.253
0.6,0.36,0.7064,0.4842,0.3684,0.236,0.338,0.2482
0.6,0.38,0.6822,0.5218,0.3542,0.2556,0.328,0.2662
0.6,0.4,0.691,0.5246,0.3628,0.263,0.3282,0.2616
0.6,0.42,0.6782,0.4692,0.3564,0.2342,0.3218,0.235
0.6,0.44,0.6832,0.4796,0.363,0.2406,0.3202,0.239
0.6,0.46,0.718,0.5176,0.3788,0.256,0.3392,0.2616
0.6,0.48,0.7166,0.5038,0.3768,0.2586,0.3398,0.2452
0.6,0.5,0.7122,0.4982,0.3758,0.2468,0.3364,0.2514
0.6,0.52,0.7016,0.5144,0.3702,0.2586,0.3314,0.2558
0.6,0.54,0.7172,0.5186,0.3796,0.2554,0.3376,0.2632
0.6,0.56,0.691,0.5162,0.3626,0.2542,0.3284,0.262
0.6,0.58,0.707,0.513,0.3724,0.2502,0.3346,0.2628
0.6,0.6,0.6798,0.509,0.3602,0.2482,0.3196,0.2608
0.6,0.62,0.711,0.491,0.3668,0.233,0.3442,0.258
0.6,0.64,0.6954,0.5122,0.3642,0.255,0.3312,0.2572
0.6,0.66,0.714,0.4792,0.3764,0.236,0.3376,0.2432
0.6,0.68,0.7304,0.5278,0.3924,0.2622,0.338,0.2656
0.6,0.7,0.7226,0.5276,0.3756,0.26,0.347,0.2676
0.6,0.72,0.718,0.474,0.3758,0.2344,0.3422,0.2396
0.6,0.74,0.747,0.4564,0.3928,0.2228,0.3542,0.2336
0.6,0.76,0.7268,0.5108,0.3858,0.2522,0.341,0.2586
0.6,0.78,0.7184,0.4776,0.3802,0.2406,0.3382,0.237
0.6,0.8,0.701,0.521,0.3672,0.2626,0.3338,0.2584
0.6,0.82,0.7176,0.5254,0.3772,0.2634,0.3404,0.262
0.6,0.84,0.7114,0.5358,0.3762,0.2626,0.3352,0.2732
0.6,0.86,0.708,0.525,0.3768,0.2584,0.3312,0.2666
0.6,0.88,0.7446,0.4846,0.3902,0.2436,0.3544,0.241
0.6,0.9,0.7186,0.5076,0.3804,0.2498,0.3382,0.2578
0.6,0.92,0.7116,0.5028,0.379,0.2476,0.3326,0.2552
0.6,0.94,0.7212,0.473,0.3854,0.2382,0.3358,0.2348
0.6,0.96,0.7316,0.5108,0.386,0.2518,0.3456,0.259
0.6,0.98,0.718,0.5342,0.3914,0.2622,0.3266,0.272
0.6,1,0.7326,0.513,0.3868,0.2524,0.3458,0.2606
0.62,0.02,0.6854,0.4878,0.3546,0.2438,0.3308,0.244
0.62,0.04,0.6718,0.515,0.3524,0.2612,0.3194,0.2538
0.62,0.06,0.6632,0.5216,0.3476,0.263,0.3156,0.2586
0.62,0.08,0.676,0.5196,0.3502,0.2602,0.3258,0.2594
0.62,0.1,0.6832,0.4844,0.351,0.2422,0.3322,0.2422
0.62,0.12,0.6584,0.5298,0.3438,0.2634,0.3146,0.2664
0.62,0.14,0.6956,0.5208,0.3678,0.2648,0.3278,0.256
0.62,0.16,0.693,0.5024,0.3612,0.2466,0.3318,0.2558
0.62,0.18,0.6882,0.507,0.3556,0.25,0.3326,0.257
0.62,0.2,0.7074,0.4974,0.3666,0.244,0.3408,0.2534
